x_mean,x_std,x_sum,x_median,y_mean,y_std,y_sum,y_median,z_mean,z_std,z_sum,z_median,Label
-216.78967254408062,9258.666089955423,-172131.0,466.0,-575.0491183879093,5133.930545277974,-456589.0,-48.0,-19.073047858942065,6480.9594859453955,-15144.0,-1240.0,1
-109.77078085642317,9279.766354782158,-87158.0,802.5,-582.1901763224181,5066.968699192043,-462259.0,-9.5,7.240554156171284,6447.82557666965,5749.0,-841.0,1
-227.35768261964736,9477.886322009557,-180522.0,772.5,-566.8073047858942,5091.249749521434,-450045.0,-238.0,7.052896725440806,6606.25160125925,5600.0,-1084.0,1
-176.11586901763224,9383.69004895489,-139836.0,886.0,-584.7556675062972,5091.63587585631,-464296.0,-341.0,-6.750629722921914,6643.543777617914,-5360.0,-1511.0,1
-91.50251889168766,9324.370985245356,-72653.0,1314.0,-598.0982367758187,5047.8552513427785,-474890.0,-425.0,24.77455919395466,6585.193603284883,19671.0,-1338.5,1
-16.367758186397985,9154.436133583104,-12996.0,2160.5,-597.9823677581863,5041.713645319785,-474798.0,-235.0,-4.5365239294710324,6559.221137543618,-3602.0,-1539.5,1
-438.54534005037783,6643.378666918307,-348205.0,-1830.5,-935.7229219143577,3593.324063071434,-742964.0,-704.0,-6.494962216624685,5694.314395907988,-5157.0,462.0,1
-595.5264483627204,6813.919279087663,-472848.0,-1715.5,-1116.0680100755667,3169.796635292881,-886158.0,-989.0,0.2619647355163728,5976.037378855837,208.0,1367.0,1
-501.36775818639796,6721.730374802628,-398086.0,-975.5,-1022.8702770780857,3506.537001055482,-812159.0,-973.5,-23.164987405541563,5709.021388324036,-18393.0,1656.0,1
-129.59068010075566,6538.975722202205,-102895.0,-810.0,-1054.861460957179,3218.1185104795986,-837560.0,-1009.0,-14.477329974811083,5121.530806396908,-11495.0,1916.5,1
-73.27959697732997,6279.114491461721,-58184.0,-774.5,-1021.3136020151134,2907.145781318414,-810923.0,-845.0,-22.503778337531486,5036.926840402994,-17868.0,1436.0,1
-108.8690176322418,6143.985435119306,-86442.0,-1248.0,-1000.8652392947104,3490.669849861508,-794687.0,-1094.5,-47.178841309823675,5339.221846402366,-37460.0,1735.0,1
-71.7984886649874,6183.973583254022,-57008.0,-1277.0,-1058.6347607052896,3979.9247757693365,-840556.0,-984.0,-27.741813602015114,5896.161246115255,-22027.0,1730.0,1
-230.07178841309823,6219.283838306669,-182677.0,-1986.5,-957.2682619647355,4057.405690279316,-760071.0,-947.5,-47.57934508816121,6335.74782235497,-37778.0,1541.5,1
-370.3879093198992,5881.698351990969,-294088.0,-2534.5,-995.1486146095718,3793.7411415725733,-790148.0,-1197.5,-25.4735516372796,6244.012302132829,-20226.0,778.0,1
-375.10201511335015,5773.113807117688,-297831.0,-2430.0,-1018.8929471032745,3752.868863087482,-809001.0,-1043.0,-5.040302267002519,6189.991268576811,-4002.0,1101.5,1
-403.2065491183879,5753.687729792267,-320146.0,-2456.0,-1046.1586901763224,3674.6481984129678,-830650.0,-959.0,-31.70403022670025,6259.084888477637,-25173.0,987.0,1
-486.0,5532.325231909882,-385884.0,-2641.5,-1045.3929471032745,3524.210709734657,-830042.0,-922.0,-27.129722921914357,6269.072956564394,-21541.0,896.5,1
-650.691435768262,5209.519319982732,-516649.0,-2818.0,-1098.9168765743073,3134.9378510231863,-872540.0,-595.0,-3.6511335012594457,6274.918161206652,-2899.0,-47.0,1
-423.3778337531486,5206.436302483276,-336162.0,-2053.0,-1016.8539042821159,2798.480912246489,-807382.0,-1004.0,14.091939546599496,5931.608783416705,11189.0,-170.0,1
-120.8942065491184,5187.200059073696,-95990.0,-1608.5,-992.0088161209068,2389.073401172412,-787655.0,-1215.0,10.154911838790932,5299.874138497685,8063.0,-194.0,1
-68.7103274559194,4161.316140587118,-54556.0,-501.0,-1002.9735516372796,1746.418815461215,-796361.0,-1278.0,12.096977329974811,4132.843462913179,9605.0,-329.0,1
-43.59068010075567,2410.377811759756,-34611.0,-478.0,-1002.5780856423174,1509.2501481390914,-796047.0,-1233.0,17.12594458438287,2323.3832202530148,13598.0,24.0,1
-20.75314861460957,1596.8065125772882,-16478.0,-60.0,-992.8173803526448,1495.230156643748,-788297.0,-1376.0,12.326196473551637,2268.648155201631,9787.0,46.0,1
-35.9647355163728,2923.9002853990446,-28556.0,369.5,-1003.2455919395466,1923.2294853588874,-796577.0,-1200.0,-5.831234256926952,2793.6372972401746,-4630.0,-250.0,1
-223.12594458438286,6622.928979621604,-177162.0,171.0,-842.0503778337531,4389.627701682188,-668588.0,-626.0,2.1801007556675063,5005.222898771631,1731.0,-990.0,1
-286.42065491183877,8128.383126369956,-227418.0,691.5,-1002.3249370277078,4351.468720203358,-795846.0,-852.5,-18.453400503778337,6131.044162953857,-14652.0,-1932.0,1
